Leather Headgear : 1 暖かい毛皮, 1 鉄鉱石
Leather Vest : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Gloves : 2 暖かい毛皮
Leather Belt : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Pants : 2 暖かい毛皮
Piscine Mask : 2 ケルビの角, 2 イキツギ藻, 2 なぞの骨
Piscine Belt : 2 水生獣の皮, 2 欠けた貝殻
Piscine Leggings : 2 水生獣の皮, 1 大きなヒレ
Chainmail Headgear : 1 大地の結晶, 1 鉄鉱石
Chainmail Vest : 2 鉄鉱石, 1 暖かい毛皮
Chainmail Gloves : 1 鉄鉱石, 2 砥石
Chainmail Belt : 1 鉄鉱石, 2 暖かい毛皮
Chainmail Pants : 2 鉄鉱石, 2 暖かい毛皮
Loc Lac Shawl : 1 甲虫の腹袋, 3 モンスターの体液, 3 氷結晶
Loc Lac Kilt : 2 甲虫の腹袋, 2 甲虫の大顎, 3 氷結晶
Loc Lac Boots : 3 甲虫の大顎, 2 甲虫の腹袋, 3 氷結晶
Hunter's Helm : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Mail : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Vambraces : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Faulds : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Greaves : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Hunter's Cap : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Vest : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Guards : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Coat : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Leggings : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Yukumo Kasa : ※港店売り
Yukumo Dogi : ※港店売り
Yukumo Kote : ※港店売り
Yukumo Obi : ※港店売り
Yukumo Hakama : ※港店売り
Alloy Helm : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Mail : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Vambraces : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coil : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Greaves : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Alloy Cap : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Vest : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Guards : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coat : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Leggings : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Bone Helm : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Mail : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Vambraces : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Faulds : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Greaves : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bone Cap : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Vest : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Guards : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Coat : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Leggings : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Ludroth Z Coat : 2 海綿質の紫厚皮, 6 柔軟な厚皮, 2 重厚な骨, 1 マボロシチョウ
Ludroth Z Leggings : 3 紫水獣の剛爪, 3 紫水獣の厚鱗, 3 海綿質の上皮, 5 エルトライト鉱石
Plesioth X jHelm : 3 水竜の厚鱗, 2 水竜の特上ビレ, 2 水竜の重牙, 3 モンスターの特濃
Plesioth X jMail : 3 水竜の特上ビレ, 2 水竜の厚鱗, 2 水竜の剛翼膜, 2 柔軟な厚皮
Plesioth X jVambraces : 1 水竜の厚鱗, 3 水竜の特上ビレ, 1 水竜の絶品お頭, 3 皇帝バッタ
Plesioth X jGreaves : 4 水竜の厚鱗, 2 水竜の特上ビレ, 1 大竜玉, 2 エルトライト鉱石
Plesioth X jCap : 3 水竜の厚鱗, 2 水竜の特上ビレ, 2 水竜の重牙, 3 モンスターの特濃
Plesioth X jVest : 3 水竜の特上ビレ, 2 水竜の厚鱗, 2 水竜の剛翼膜, 2 柔軟な厚皮
Plesioth X jGuards : 1 水竜の厚鱗, 3 水竜の特上ビレ, 1 水竜の絶品お頭, 3 皇帝バッタ
Plesioth X jLeggings : 4 水竜の厚鱗, 2 水竜の特上ビレ, 1 大竜玉, 2 エルトライト鉱石
Plesioth Z jHelm : 3 翠水竜の厚鱗, 2 翠水竜の特上ビレ, 2 水竜の重牙, 1 幻鳥竜玉
Plesioth Z jMail : 3 翠水竜の特上ビレ, 2 翠水竜の厚鱗, 2 水竜の剛翼膜, 10 皇帝バッタ
Plesioth Z jVambraces : 1 翆水竜の厚鱗, 3 翆水竜の特上ビレ, 1 水竜の絶品お頭, 5 モンスターの特濃
Plesioth Z jGreaves : 4 翆水竜の厚鱗, 2 翆水竜の特上ビレ, 1 大竜玉, 3 メランジェ鉱石
Plesioth Z jCap : 3 翠水竜の厚鱗, 2 翠水竜の特上ビレ, 2 水竜の重牙, 1 幻鳥竜玉
Plesioth Z jVest : 3 翠水竜の特上ビレ, 2 翠水竜の厚鱗, 2 水竜の剛翼膜, 10 皇帝バッタ
Plesioth Z jGuards : 1 翆水竜の厚鱗, 3 翆水竜の特上ビレ, 1 水竜の絶品お頭, 5 モンスターの特濃
Plesioth Z jLeggings : 4 翆水竜の厚鱗, 2 翆水竜の特上ビレ, 1 大竜玉, 3 メランジェ鉱石
Rathian X Helm : 2 雌火竜の秘棘, 4 雌火竜の重殻, 1 雌火竜の紅玉, 3 業炎袋
Rathian X Mail : 4 雌火竜の厚鱗, 1 雌火竜の紅玉, 1 火竜の延髄, 2 獄炎石
Rathian X Vambraces : 4 雌火竜の重殻, 3 火竜の剛翼爪, 2 雌火竜の上棘, 2 獄炎石
Rathian X Faulds : 3 雌火竜の厚鱗, 3 火竜の剛翼爪, 1 雌火竜の天鱗, 4 エルトライト鉱石
Rathian X Greaves : 4 雌火竜の重殻, 4 雌火竜の厚鱗, 3 重竜骨, 4 エルトライト鉱石
Rathian X Cap : 2 雌火竜の秘棘, 4 雌火竜の重殻, 1 雌火竜の紅玉, 3 業炎袋
Rathian X Vest : 4 雌火竜の厚鱗, 1 雌火竜の紅玉, 1 火竜の延髄, 2 獄炎石
Rathian X Guards : 4 雌火竜の重殻, 3 火竜の剛翼爪, 2 雌火竜の上棘, 2 獄炎石
Rathian X Coat : 3 雌火竜の厚鱗, 3 火竜の剛翼爪, 1 雌火竜の天鱗, 4 エルトライト鉱石
Rathian X Leggings : 4 雌火竜の重殻, 4 雌火竜の厚鱗, 3 重竜骨, 4 エルトライト鉱石
RioHeart Z Helm : 2 桜火竜の重殻, 3 桜下流の厚鱗, 2 重竜骨, 2 雌火竜の秘棘
RioHeart Z Mail : 3 桜火竜の厚鱗, 2 桜火竜の重殻, 4 エルトライト鉱石, 1 雌火竜の天鱗
RioHeart Z Vambraces : 2 桜火竜の重殻, 4 桜火竜の厚鱗, 3 重竜骨, 1 火竜の延髄
RioHeart Z Faulds : 3 桜火竜の厚鱗, 2 桜火竜の重殻, 2 業炎袋, 1 雌火竜の紅玉
RioHeart Z Greaves : 2 桜火竜の重殻, 4 桜火竜の厚鱗, 3 重竜骨, 1 ピュアクリスタル
RioHeart Z Cap : 2 桜火竜の重殻, 3 桜下流の厚鱗, 2 重竜骨, 2 雌火竜の秘棘
RioHeart Z Vest : 3 桜火竜の厚鱗, 2 桜火竜の重殻, 4 エルトライト鉱石, 1 雌火竜の天鱗
RioHeart Z Guards : 2 桜火竜の重殻, 4 桜火竜の厚鱗, 3 重竜骨, 1 火竜の延髄
RioHeart Z Coat : 3 桜火竜の厚鱗, 2 桜火竜の重殻, 2 業炎袋, 1 雌火竜の紅玉
RioHeart Z Leggings : 2 桜火竜の重殻, 4 桜火竜の厚鱗, 3 重竜骨, 1 ピュアクリスタル
Guild Bard X Lobos/Scholar's X Beret : 2 狩猟王のコイン, 4 闘技王のコイン, 3 凍戈竜の特上ビレ, 1 覇王の証
Guild Bard X Bolero/Scholar's X Blouse : 2 狩猟王のコイン, 3 飛竜のコイン, 3 電怪竜の剛爪, 1 覇王の証
Guild Bard X Braces/Scholar's X Gloves : 2 狩猟王のコイン, 4 海竜のコイン, 3 紫水獣の剛爪, 1 覇王の証
Guild Bard X Coil/Scholar's X Skirt : 2 狩猟王のコイン, 3 水竜のコイン, 3 高圧電気石, 1 覇王の証
Guild Bard X Boots/Scholar's X Socks : 2 狩猟王のコイン, 4 獣竜のコイン, 3 黒角竜の重甲, 1 覇王の証
Guild Bard X Hat/Scholar's X Cap : 2 狩猟王のコイン, 4 闘技王のコイン, 3 凍戈竜の特上ビレ, 1 覇王の証
Guild Bard X Vest/Scholar's X Vest : 2 狩猟王のコイン, 3 飛竜のコイン, 3 電怪竜の剛爪, 1 覇王の証
Guild Bard X Sleeves/Scholar's X Sleeves : 2 狩猟王のコイン, 4 海竜のコイン, 3 紫水獣の剛爪, 1 覇王の証
Guild Bard X Coat/Scholar's X Mini : 2 狩猟王のコイン, 3 水竜のコイン, 3 高圧電気石, 1 覇王の証
Guild Bard X Gaiters/Scholar's X Sandals : 2 狩猟王のコイン, 4 獣竜のコイン, 3 黒角竜の重甲, 1 覇王の証
Comando's Headgear : 3 狩猟王のコイン, 2 飛竜のコイン, 3 氷砕竜の重頭殻, 1 覇王の証
Comando's Girdle : 3 狩猟王のコイン, 3 海竜のコイン, 3 翠水竜の特上ビレ, 1 覇王の証
Comando's Gauntlets : 3 狩猟王のコイン, 3 獣竜のコイン, 3 緑迅竜の剛刃翼, 1 覇王の証
Comando's Faulds : 3 狩猟王のコイン, 3 水竜のコイン, 3 風牙竜の靭尾, 1 覇王の証
Comando's Espadrilles : 3 狩猟王のコイン, 2 飛竜のコイン, 3 尾斧竜の重尾甲, 1 覇王の証
Spy's Turban : 3 狩猟王のコイン, 2 飛竜のコイン, 3 氷砕竜の重頭殻, 1 覇王の証
Spy's Girdle : 3 狩猟王のコイン, 3 海竜のコイン, 3 翠水竜の特上ビレ, 1 覇王の証
Spy's Gauntlets : 3 狩猟王のコイン, 3 獣竜のコイン, 3 緑迅竜の剛刃翼, 1 覇王の証
Spy's Bandolier : 3 狩猟王のコイン, 3 水竜のコイン, 3 風牙竜の靭尾, 1 覇王の証
Spy's Espadrilles : 3 狩猟王のコイン, 2 飛竜のコイン, 3 尾斧竜の重尾甲, 1 覇王の証
Ancient X Mail : 5 エルトライト鉱石, 5 さびた破片, 3 大きな太古の破片, 4 ピュアクリスタル
Ancient X Vambraces : 5 エルトライト鉱石, 5 さびた破片, 3 細い太古の破片, 8 ユニオン鉱石
Ancient X Greaves : 5 エルトライト鉱石, 5 さびた破片, 3 長い太古の破片, 4 メランジェ鉱石
Ancient X Vest : 5 エルトライト鉱石, 5 さびた破片, 3 大きな太古の破片, 4 ピュアクリスタル
Ancient X Guards : 5 エルトライト鉱石, 5 さびた破片, 3 細い太古の破片, 8 ユニオン鉱石
Ancient X Leggings : 5 エルトライト鉱石, 5 さびた破片, 3 長い太古の破片, 4 メランジェ鉱石
Barioth X Helm : 2 琥珀色の重牙, 5 氷牙竜の厚毛皮, 4 氷牙竜の重殻, 3 瞬間凍結袋
Barioth X Mail : 4 氷牙竜の重殻, 1 氷牙竜の靭尾, 1 大竜玉, 6 白兎獣の豪剛毛
Barioth X Vambraces : 2 氷牙竜の剛爪, 3 氷牙竜の重殻, 3 重竜骨, 3 瞬間凍結袋
Barioth X Faulds : 2 琥珀色の重牙, 4 氷牙竜の靭尾, 4 氷牙竜の厚毛皮, 4 白兎獣の地獄耳
Barioth X Greaves : 5 氷牙竜の厚毛皮, 3 氷牙竜の重殻, 2 氷牙竜の剛爪, 2 重厚な牙
Barioth X Cap : 2 琥珀色の重牙, 5 氷牙竜の厚毛皮, 4 氷牙竜の重殻, 3 瞬間凍結袋
Barioth X Vest : 4 氷牙竜の重殻, 1 氷牙竜の靭尾, 1 大竜玉, 6 白兎獣の豪剛毛
Barioth X Guards : 2 氷牙竜の剛爪, 3 氷牙竜の重殻, 3 重竜骨, 3 瞬間凍結袋
Barioth X Coat : 2 琥珀色の重牙, 4 氷牙竜の靭尾, 4 氷牙竜の厚毛皮, 4 白兎獣の地獄耳
Barioth X Leggings : 5 氷牙竜の厚毛皮, 3 氷牙竜の重殻, 2 氷牙竜の剛爪, 2 重厚な牙
Barioth Z Helm : 2 群青色の重牙, 3 風牙竜の厚毛皮, 2 風牙竜の重殻, 3 青熊獣の重殻
Barioth Z Mail : 3 風牙竜の重殻, 1 風牙竜の靭尾, 3 重竜骨, 2 皇帝バッタ
Barioth Z Vambraces : 2 風牙竜の剛爪, 3 風牙竜の重殻, 3 風牙竜の厚毛皮, 3 重厚な牙
Barioth Z Faulds : 2 群青色の重牙, 4 強靭な大胸膜, 1 大竜玉, 2 風牙竜の剛爪
Barioth Z Greaves : 4 風牙竜の厚毛皮, 3 風牙竜の重殻, 1 群青色の重牙, 3 青熊獣の重腕甲
Barioth Z Cap : 2 群青色の重牙, 3 風牙竜の厚毛皮, 2 風牙竜の重殻, 3 青熊獣の重殻
Barioth Z Vest : 3 風牙竜の重殻, 1 風牙竜の靭尾, 3 重竜骨, 2 皇帝バッタ
Barioth Z Guards : 2 風牙竜の剛爪, 3 風牙竜の重殻, 3 風牙竜の厚毛皮, 3 重厚な牙
Barioth Z Coat : 2 群青色の重牙, 4 強靭な大胸膜, 1 大竜玉, 2 風牙竜の剛爪
Barioth Z Leggings : 4 風牙竜の厚毛皮, 3 風牙竜の重殻, 1 群青色の重牙, 3 青熊獣の重腕甲
Barroth X Helm : 4 土砂竜の重甲, 2 土砂竜の重殻, 1 土砂竜の重頭殻, 2 堅牢な鳥竜骨
Barroth X Mail : 4 土砂竜の重甲, 3 土砂竜の重頭殻, 2 土砂竜の剛爪, 3 極上の毛皮
Barroth X Vambraces : 4 土砂竜の剛爪, 2 土砂竜の重殻, 2 重竜骨, 2 堅牢な鳥竜骨
Barroth X Faulds : 2 土砂竜の重殻, 3 土砂竜の重甲, 2 重竜骨, 3 極上の毛皮
Barroth X Greaves : 3 土砂竜の重殻, 1 土砂竜の靱尾, 3 重厚な骨, 2 狗竜の厚皮
Barroth X Cap : 4 土砂竜の重甲, 2 土砂竜の重殻, 1 土砂竜の重頭殻, 2 堅牢な鳥竜骨
Barroth X Vest : 4 土砂竜の重甲, 3 土砂竜の重頭殻, 2 土砂竜の剛爪, 3 極上の毛皮
Barroth X Guards : 4 土砂竜の剛爪, 2 土砂竜の重殻, 2 重竜骨, 2 堅牢な鳥竜骨
Barroth X Coat : 2 土砂竜の重殻, 3 土砂竜の重甲, 2 重竜骨, 3 極上の毛皮
Barroth X Leggings : 3 土砂竜の重殻, 1 土砂竜の靱尾, 3 重厚な骨, 2 狗竜の厚皮
Barroth Z Helm : 5 氷砕竜の重甲, 3 氷砕竜の重殻, 5 凍った粘液塊, 5 白兎獣の豪剛毛
Barroth Z Mail : 3 氷砕竜の重頭殻, 4 氷砕竜の重甲, 2 氷砕竜の剛爪, 2 白兎獣の地獄耳
Barroth Z Vambraces : 4 氷砕竜の剛爪, 2 氷砕竜の重殻, 2 重竜骨, 3 極上の毛皮
Barroth Z Faulds : 3 氷砕竜の重殻, 4 氷砕竜の重甲, 2 重厚な骨, 4 白兎獣の豪剛毛
Barroth Z Greaves : 3 氷砕竜の重殻, 1 氷砕竜の靱尾, 3 氷砕竜の剛爪, 3 極上の毛皮
Barroth Z Cap : 5 氷砕竜の重甲, 3 氷砕竜の重殻, 5 凍った粘液塊, 5 白兎獣の豪剛毛
Barroth Z Vest : 3 氷砕竜の重頭殻, 4 氷砕竜の重甲, 2 氷砕竜の剛爪, 2 白兎獣の地獄耳
Barroth Z Guards : 4 氷砕竜の剛爪, 2 氷砕竜の重殻, 2 重竜骨, 3 極上の毛皮
Barroth Z Coat : 3 氷砕竜の重殻, 4 氷砕竜の重甲, 2 重厚な骨, 4 白兎獣の豪剛毛
Barroth Z Leggings : 3 氷砕竜の重殻, 1 氷砕竜の靱尾, 3 氷砕竜の剛爪, 3 極上の毛皮
Gobul X Helm : 2 灯魚竜の秘棘, 6 灯魚竜の厚皮, 4 灯魚竜の大王ヒゲ, 3 重竜骨
Gobul X Mail : 2 灯魚竜の特上ビレ, 3 灯魚竜の秘棘, 4 灯魚竜の厚皮, 2 幻鳥竜玉
Gobul X Vambraces : 1 灯魚竜の厚皮, 3 灯魚竜の秘棘, 4 灯魚竜の上棘, 4 堅牢な鳥竜骨
Gobul X Faulds : 6 灯魚竜の厚皮, 2 灯魚竜の特上ビレ, 3 灯魚竜の大王ヒゲ, 5 強力麻痺袋
Gobul X Greaves : 6 灯魚竜の秘棘, 6 灯魚竜の厚皮, 4 灯魚竜の特上ビレ, 1 最高級提灯球
Gobul X Cap : 2 灯魚竜の秘棘, 6 灯魚竜の厚皮, 4 灯魚竜の大王ヒゲ, 3 重竜骨
Gobul X Vest : 2 灯魚竜の特上ビレ, 3 灯魚竜の秘棘, 4 灯魚竜の厚皮, 2 幻鳥竜玉
Gobul X Guards : 1 灯魚竜の厚皮, 3 灯魚竜の秘棘, 4 灯魚竜の上棘, 4 堅牢な鳥竜骨
Gobul X Coat : 6 灯魚竜の厚皮, 2 灯魚竜の特上ビレ, 3 灯魚竜の大王ヒゲ, 5 強力麻痺袋
Gobul X Leggings : 6 灯魚竜の秘棘, 6 灯魚竜の厚皮, 4 灯魚竜の特上ビレ, 1 最高級提灯球
Gigginox X Helm : 3 おぞましい厚皮, 1 悪夢のクチ, 5 毒怪竜の厚皮, 5 猛毒袋
Gigginox X Mail : 2 毒怪竜の剛爪, 4 毒怪竜の厚皮, 3 おぞましい毒腺, 1 ピュアクリスタル
Gigginox X Vambraces : 4 毒怪竜の厚皮, 2 毒怪竜の剛爪, 2 毒怪竜の鋭爪, 1 幻鳥竜玉
Gigginox X Faulds : 4 毒怪竜の厚皮, 3 おぞましい毒腺, 2 おぞましい厚皮, 6 モンスターの特濃
Gigginox X Greaves : 3 おぞましい毒腺, 2 毒怪竜の厚皮, 2 悪夢のクチ, 4 眠狗竜の厚皮
Gigginox X Cap : 3 おぞましい厚皮, 1 悪夢のクチ, 5 毒怪竜の厚皮, 5 猛毒袋
Gigginox X Vest : 2 毒怪竜の剛爪, 4 毒怪竜の厚皮, 3 おぞましい毒腺, 1 ピュアクリスタル
Gigginox X Guards : 4 毒怪竜の厚皮, 2 毒怪竜の剛爪, 2 毒怪竜の鋭爪, 1 幻鳥竜玉
Gigginox X Coat : 4 毒怪竜の厚皮, 3 おぞましい毒腺, 2 おぞましい厚皮, 6 モンスターの特濃
Gigginox X Leggings : 3 おぞましい毒腺, 2 毒怪竜の厚皮, 2 悪夢のクチ, 4 眠狗竜の厚皮
Gigginox Z Helm : 4 電怪竜の厚皮, 2 おぞましい厚皮, 7 アルビノエキス, 4 眠拘竜の厚皮
Gigginox Z Mail : 2 雷怪竜の剛爪, 4 雷怪竜の厚皮, 1 大竜玉, 5 堅牢な鳥竜骨
Gigginox Z Vambraces : 1 電怪竜の剛爪, 2 悪夢のクチ, 2 重竜骨, 2 雷電袋
Gigginox Z Faulds : 4 電怪竜の厚皮, 1 電怪竜の剛爪, 4 雷電袋, 6 グラシスメタル
Gigginox Z Greaves : 4 電怪竜の厚皮, 2 おぞましい厚皮, 2 重竜骨, 1 ピュアクリスタル
Gigginox Z Cap : 4 電怪竜の厚皮, 2 おぞましい厚皮, 7 アルビノエキス, 4 眠拘竜の厚皮
Gigginox Z Vest : 2 雷怪竜の剛爪, 4 雷怪竜の厚皮, 1 大竜玉, 5 堅牢な鳥竜骨
Gigginox Z Guards : 1 電怪竜の剛爪, 2 悪夢のクチ, 2 重竜骨, 2 雷電袋
Gigginox Z Coat : 4 電怪竜の厚皮, 1 電怪竜の剛爪, 4 雷電袋, 6 グラシスメタル
Gigginox Z Leggings : 4 電怪竜の厚皮, 2 おぞましい厚皮, 2 重竜骨, 1 ピュアクリスタル
Hapul X Helm : 4 潜口竜の重殻, 2 潜口竜の剛爪, 2 潜口竜の厚皮, 2 巨大なヒレ
Hapul X Mail : 4 潜口竜の厚皮, 4 潜口竜の重殻, 4 光り輝く体液, 2 堅牢な鳥竜骨
Hapul X Vambraces : 3 潜口竜の剛爪, 3 潜口竜の重殻, 4 光り輝く体液, 3 毒狗竜の上皮
Hapul X Faulds : 2 潜口竜の剛爪, 3 潜口竜の厚皮, 4 極彩色の体液, 2 偉大なクチバシ
Hapul X Greaves : 4 潜口竜の重殻, 1 大竜玉, 3 重竜骨, 4 毒狗竜の厚皮
Hapul X Cap : 4 潜口竜の重殻, 2 潜口竜の剛爪, 2 潜口竜の厚皮, 2 巨大なヒレ
Hapul X Vest : 4 潜口竜の厚皮, 4 潜口竜の重殻, 4 光り輝く体液, 2 堅牢な鳥竜骨
Hapul X Guards : 3 潜口竜の剛爪, 3 潜口竜の重殻, 4 光り輝く体液, 3 毒狗竜の上皮
Hapul X Coat : 2 潜口竜の剛爪, 3 潜口竜の厚皮, 4 極彩色の体液, 2 偉大なクチバシ
Hapul X Leggings : 4 潜口竜の重殻, 1 大竜玉, 3 重竜骨, 4 毒狗竜の厚皮
Dobol X Helm : 2 尾槌竜の剛角, 6 尾槌竜の重殻, 1 尾槌竜の仙骨, 5 エルトライト鉱石
Dobol X Mail : 2 尾槌竜の剛角, 4 霜降りのコブ, 1 大竜玉, 3 極上の毛皮
Dobol X Vambraces : 6 尾槌竜の重殻, 2 尾槌竜の重尾甲, 5 尾槌竜の堅苔甲, 5 重厚な骨
Dobol X Faulds : 4 尾槌竜の重苔甲, 6 尾槌竜の重殻, 1 ドボルストーン, 3 青熊獣の重殻
Dobol X Greaves : 3 尾槌竜の重殻, 5 尾槌竜の重苔甲, 4 霜降りのコブ, 3 草食竜の重骨
Dobol X Cap : 2 尾槌竜の剛角, 6 尾槌竜の重殻, 1 尾槌竜の仙骨, 5 エルトライト鉱石
Dobol X Vest : 2 尾槌竜の剛角, 4 霜降りのコブ, 1 大竜玉, 3 極上の毛皮
Dobol X Guards : 6 尾槌竜の重殻, 2 尾槌竜の重尾甲, 5 尾槌竜の堅苔甲, 5 重厚な骨
Dobol X Coat : 4 尾槌竜の重苔甲, 6 尾槌竜の重殻, 1 ドボルストーン, 3 青熊獣の重殻
Dobol X Leggings : 3 尾槌竜の重殻, 5 尾槌竜の重苔甲, 4 霜降りのコブ, 3 草食竜の重骨
Dobol Z Helm : 2 尾槌竜の剛角, 6 尾斧竜の赤銅殻, 1 尾槌竜の仙骨, 1 ピュアクリスタル
Dobol Z Mail : 2 尾槌竜の剛角, 4 霜降りのコブ, 1 大竜玉, 3 極上の腹袋
Dobol Z Vambraces : 6 尾斧竜の赤銅殻, 2 尾斧竜の重尾甲, 5 尾槌竜の堅苔甲, 5 重厚な牙
Dobol Z Faulds : 4 尾斧竜の赤銅甲, 6 尾斧竜の赤銅殻, 1 ドボルストーン, 3 青熊獣の重腕甲
Dobol Z Greaves : 3 尾斧竜の赤銅甲, 5 尾斧竜の赤銅殻, 4 霜降りのコブ, 3 重竜骨
Dobol Z Cap : 2 尾槌竜の剛角, 6 尾斧竜の赤銅殻, 1 尾槌竜の仙骨, 1 ピュアクリスタル
Dobol Z Vest : 2 尾槌竜の剛角, 4 霜降りのコブ, 1 大竜玉, 3 極上の腹袋
Dobol Z Guards : 6 尾斧竜の赤銅殻, 2 尾斧竜の重尾甲, 5 尾槌竜の堅苔甲, 5 重厚な牙
Dobol Z Coat : 4 尾斧竜の赤銅甲, 6 尾斧竜の赤銅殻, 1 ドボルストーン, 3 青熊獣の重腕甲
Dobol Z Leggings : 3 尾斧竜の赤銅甲, 5 尾斧竜の赤銅殻, 4 霜降りのコブ, 3 重竜骨
Nargacuga X Helm : 2 迅竜の重尾棘, 3 迅竜の豪黒毛, 2 迅竜の剛刃翼, 4 青熊獣の重殻
Nargacuga X Mail : 3 迅竜の厚鱗, 4 迅竜の重牙, 3 迅竜の豪黒毛, 3 狗竜の厚皮
Nargacuga X Vambraces : 3 迅竜の剛刃翼, 1 迅竜の天鱗, 3 迅竜の延髄, 5 青熊獣の重腕甲
Nargacuga X Faulds : 3 迅竜の豪黒毛, 1 迅竜の靭尾, 1 迅竜の天鱗, 3 マボロシチョウ
Nargacuga X Greaves : 6 迅竜の重牙, 3 迅竜の厚鱗, 2 迅竜の重尾棘, 6 皇帝バッタ
Nargacuga X Cap : 2 迅竜の重尾棘, 3 迅竜の豪黒毛, 2 迅竜の剛刃翼, 4 青熊獣の重殻
Nargacuga X Vest : 3 迅竜の厚鱗, 4 迅竜の重牙, 3 迅竜の豪黒毛, 3 狗竜の厚皮
Nargacuga X Guards : 3 迅竜の剛刃翼, 1 迅竜の天鱗, 3 迅竜の延髄, 5 青熊獣の重腕甲
Nargacuga X Coat : 3 迅竜の豪黒毛, 1 迅竜の靭尾, 1 迅竜の天鱗, 3 マボロシチョウ
Nargacuga X Leggings : 6 迅竜の重牙, 3 迅竜の厚鱗, 2 迅竜の重尾棘, 6 皇帝バッタ
Nargacuga Z Helm : 6 緑迅竜の豪斑毛, 3 緑迅竜の剛刃翼, 4 迅竜の延髄, 4 柔軟な厚皮
Nargacuga Z Mail : 5 緑迅竜の厚鱗, 5 緑迅竜の重牙, 1 迅竜の天鱗, 3 重厚な牙
Nargacuga Z Vambraces : 4 緑迅竜の剛刃翼, 5 緑迅竜の厚鱗, 4 緑迅竜の重尾棘, 2 幻鳥竜玉
Nargacuga Z Faulds : 6 緑迅竜の豪斑毛, 5 緑迅竜の重尾棘, 1 大竜玉, 1 ピュアクリスタル
Nargacuga Z Greaves : 5 緑迅竜の重牙, 5 緑迅竜の厚鱗, 1 迅竜の靭尾, 3 重竜骨
Nargacuga Z Cap : 6 緑迅竜の豪斑毛, 3 緑迅竜の剛刃翼, 4 迅竜の延髄, 4 柔軟な厚皮
Nargacuga Z Vest : 5 緑迅竜の厚鱗, 5 緑迅竜の重牙, 1 迅竜の天鱗, 3 重厚な牙
Nargacuga Z Guards : 4 緑迅竜の剛刃翼, 5 緑迅竜の厚鱗, 4 緑迅竜の重尾棘, 2 幻鳥竜玉
Nargacuga Z Coat : 6 緑迅竜の豪斑毛, 5 緑迅竜の重尾棘, 1 大竜玉, 1 ピュアクリスタル
Nargacuga Z Leggings : 5 緑迅竜の重牙, 5 緑迅竜の厚鱗, 1 迅竜の靭尾, 3 重竜骨
Helios X Helm/Selene X Helm : 2 湾曲した剛龍角, 4 湾曲した龍角, 1 深淵の龍玉, 1 覇王の証
Helios X Mail/Selene X Mail : 5 皇海竜の豪鎧毛, 6 大海龍の鎧毛, 5 大地の龍玉, 1 覇王の証
Helios X Vambraces/Selene X Vambraces : 3 皇海龍の豪鎧毛, 6 大海龍の甲皮, 5 神秘の発光体, 1 覇王の証
Helios X Coil/Selene X Coil : 1 深淵の皇龍玉, 3 大海龍の尻尾, 2 海竜の蒼玉, 1 覇王の証
Helios X Greaves/Selene X Greaves : 5 皇海龍の豪鎧毛, 7 大海龍の鱗, 4 古龍の血, 1 覇王の証
Helios X Cap/Selene X Cap : 2 湾曲した剛龍角, 4 湾曲した龍角, 1 深淵の龍玉, 1 覇王の証
